Offspring_ID,Mother_ID,Mother_Accession,Candidate_Father_ID,Candidate_Father_Accesion,Candidate father species,mother_long,mother_lat,father_long,father_lat,,,,,,,
UHA-0068,UHA-0014,704-46*13,UHA-0264,704-46*15,muehlenbergii,-88.063177,41.811685,-88.063301,41.811734,,,,,,,
UHA-0070,UHA-0014,704-46*13,UHA-0262,704-46*10,muehlenbergii,-88.063177,41.811685,-88.064,41.811708,,,,,,,
UHA-0071,UHA-0014,704-46*13,UHA-0266,704-46*17,muehlenbergii,-88.063177,41.811685,-88.063221,41.811843,,,,,,,
UHA-0075,UHA-0014,704-46*13,UHA-0298,549-82*5,muehlenbergii,-88.063177,41.811685,-88.065622,41.814004,,,,,,,
UHA-0077,UHA-0014,704-46*13,UHA-0263,704-46*11,muehlenbergii,-88.063177,41.811685,-88.063389,41.811663,,,,,,,
UHA-0079,UHA-0014,704-46*13,UHA-0013,704-46*6,muehlenbergii,-88.063177,41.811685,-88.06758,41.815615,,,,,,,
UHA-0080,UHA-0014,704-46*13,UHA-0265,704-46*16,muehlenbergii,-88.063177,41.811685,-88.063121,41.811813,,,,,,,
UHA-0081,UHA-0014,704-46*13,UHA-0013,704-46*6,muehlenbergii,-88.063177,41.811685,-88.06758,41.815615,,,,,,,
UHA-0099,UHA-0257,549-82*4,UHA-0258,549-82*6,muehlenbergii,-88.06577,41.814038,-88.06581,41.814109,,,,,,,
UHA-0098,UHA-0257,549-82*4,UHA-0260,570-78*1,muehlenbergii,-88.06577,41.814038,-88.066314,41.813805,,,,,,,
UHA-0101,UHA-0257,549-82*4,UHA-0260,570-78*1,muehlenbergii,-88.06577,41.814038,-88.066314,41.813805,,,,,,,
UHA-0105,UHA-0257,549-82*4,UHA-0258,549-82*6,muehlenbergii,-88.06577,41.814038,-88.06581,41.814109,,,,,,,
UHA-0109,UHA-0257,549-82*4,UHA-0261,570-78*3,muehlenbergii,-88.06577,41.814038,-88.066218,41.813887,,,,,,,
UHA-0111,UHA-0257,549-82*4,UHA-0258,549-82*6,muehlenbergii,-88.06577,41.814038,-88.06581,41.814109,,,,,,,
UHA-0112,UHA-0257,549-82*4,UHA-0265,704-46*16,muehlenbergii,-88.06577,41.814038,-88.063121,41.811813,,,,,,,
UHA-0043,UHA-0260,570-78*1,UHA-0261,570-78*3,muehlenbergii,-88.066314,41.813805,-88.06577,41.814038,,,,,,,
UHA-0045,UHA-0260,570-78*1,UHA-0298,549-82*5,muehlenbergii,-88.066314,41.813805,-88.065622,41.814004,,,,,,,
UHA-0047,UHA-0260,570-78*1,UHA-0298,549-82*5,muehlenbergii,-88.066314,41.813805,-88.065622,41.814004,,,,,,,
UHA-0052,UHA-0260,570-78*1,UHA-0298,549-82*5,muehlenbergii,-88.066314,41.813805,-88.065622,41.814004,,,,,,,
UHA-0056,UHA-0260,570-78*1,UHA-0258,549-82*6,muehlenbergii,-88.066314,41.813805,-88.06581,41.814109,,,,,,,
UHA-0020,UHA-0261,570-78*3,UHA-0260,570-78*1,muehlenbergii,-88.066218,41.813887,-88.066314,41.813805,,,,,,,
UHA-0025,UHA-0261,570-78*3,UHA-0258,549-82*6,muehlenbergii,-88.066218,41.813887,-88.06581,41.814109,,,,,,,
UHA-0026,UHA-0261,570-78*3,UHA-0298,549-82*5,muehlenbergii,-88.066218,41.813887,-88.065622,41.814004,,,,,,,
UHA-0027,UHA-0261,570-78*3,UHA-0257,549-82*4,muehlenbergii,-88.066218,41.813887,-88.06577,41.814038,,,,,,,
UHA-0028,UHA-0261,570-78*3,UHA-0257,549-82*4,muehlenbergii,-88.066218,41.813887,-88.06577,41.814038,,,,,,,
UHA-0029,UHA-0261,570-78*3,UHA-0257,549-82*4,muehlenbergii,-88.066218,41.813887,-88.06577,41.814038,,,,,,,
